Close,Timestamp,High,Low,Open
20064.14,1661993700000,20074.51,20015.37,20015.37
20111.09,1661994000000,20114.41,20062.00,20062.00
20107.31,1661994300000,20128.00,20107.31,20128.00
20070.22,1661994600000,20110.34,20066.45,20109.38
20115.71,1661994900000,20123.69,20072.59,20073.20
20114.30,1661995200000,20114.30,20084.06,20104.54
20117.89,1661995500000,20143.91,20115.36,20116.31
20104.19,1661995800000,20136.29,20100.81,20118.89
20151.44,1661996100000,20153.58,20120.19,20120.19
20155.60,1661996400000,20180.73,20134.37,20143.70
20126.77,1661996700000,20155.77,20115.49,20147.97
20133.20,1661997000000,20142.67,20119.53,20135.41
20122.76,1661997300000,20137.70,20122.76,20130.73
20160.80,1661997600000,20161.93,20126.36,20126.36
20153.31,1661997900000,20180.11,20147.23,20156.77
20178.64,1661998200000,20195.77,20153.78,20154.82
20175.18,1661998500000,20191.15,20164.50,20176.62
20176.69,1661998800000,20183.66,20164.50,20175.20
20186.41,1661999100000,20204.12,20179.84,20189.59
20185.95,1661999400000,20193.44,20178.79,20186.23
20137.17,1661999700000,20184.78,20137.17,20183.93
20131.12,1662000000000,20144.80,20121.06,20140.18
20083.80,1662000300000,20126.75,20079.80,20123.63
20092.00,1662000600000,20096.88,20074.60,20085.11
20122.04,1662000900000,20122.32,20094.27,20094.28
20114.28,1662001200000,20130.05,20112.91,20119.81
20156.34,1662001500000,20177.52,20110.53,20110.53
20139.13,1662001800000,20157.37,20139.13,20157.37
20169.46,1662002100000,20169.46,20129.09,20134.69
20167.75,1662002400000,20174.81,20159.94,20168.45
20133.17,1662002700000,20167.75,20125.06,20165.74
20135.09,1662003000000,20137.18,20126.06,20135.12
20117.46,1662003300000,20121.01,20113.83,20118.97
20050.95,1662003600000,20113.83,20044.54,20113.83
19999.91,1662003900000,20051.95,19935.98,20050.00
20077.75,1662004200000,20077.75,19986.20,20003.76
20018.13,1662004500000,20076.69,20012.28,20076.69
20046.41,1662004800000,20048.61,20019.13,20019.13
20025.86,1662005100000,20067.61,20025.86,20047.46
20006.44,1662005400000,20033.43,19996.38,20033.43
20033.86,1662005700000,20033.86,19996.38,20008.92
20016.77,1662006000000,20042.24,20004.41,20038.27
20047.40,1662006300000,20061.33,20012.47,20014.06
20061.82,1662006600000,20066.16,20047.40,20047.40
20078.23,1662006900000,20078.44,20051.84,20059.27
20060.66,1662007200000,20069.97,20052.97,20068.41
20075.04,1662007500000,20076.04,20054.05,20063.36
20091.10,1662007800000,20091.10,20074.09,20079.22
20049.78,1662008100000,20091.11,20049.78,20091.10
20047.53,1662008400000,20058.70,20046.81,20054.12
20039.91,1662008700000,20074.68,20039.91,20044.00
20078.37,1662009000000,20078.37,20037.11,20037.90
20123.29,1662009300000,20123.29,20095.17,20096.45
20118.20,1662009600000,20122.06,20106.38,20122.06
20125.25,1662009900000,20135.66,20116.84,20116.86
20096.56,1662010200000,20103.83,20080.47,20103.01
20116.75,1662010500000,20121.16,20083.32,20086.97
20106.70,1662010800000,20113.97,20095.04,20110.13
20063.76,1662011100000,20109.01,20063.76,20107.61
20057.54,1662011400000,20073.72,20036.26,20064.64
20042.41,1662011700000,20054.90,20038.06,20052.75
20049.89,1662012000000,20051.39,20039.77,20042.41
20020.51,1662012300000,20041.55,20011.31,20041.55
20022.66,1662012600000,20027.01,20005.69,20017.55
19995.06,1662012900000,20024.11,19975.21,20020.13
19997.87,1662013200000,20011.51,19991.67,19991.67
20016.81,1662013500000,20024.12,19977.22,19988.84
20029.28,1662013800000,20036.11,20016.80,20026.59
20013.17,1662014100000,20031.34,20005.56,20030.30
20001.70,1662014400000,20038.11,20001.70,20022.74
19992.56,1662014700000,20009.57,19989.31,19999.56
19984.64,1662015000000,19998.11,19978.38,19992.56
19979.10,1662015300000,19988.76,19954.66,19982.64
19937.33,1662015600000,19979.27,19886.48,19979.27
19931.68,1662015900000,19937.36,19907.90,19929.89
19938.20,1662016200000,19938.20,19909.28,19921.29
19935.40,1662016500000,19965.86,19891.00,19940.20
19937.76,1662016800000,19945.95,19922.20,19932.45
19914.66,1662017100000,19949.38,19914.65,19949.38
19863.06,1662017400000,19907.60,19806.92,19905.23
19883.52,1662017700000,19888.53,19858.84,19858.84
19884.88,1662018000000,19890.03,19855.01,19886.89
19930.83,1662018300000,19933.05,19874.44,19899.99
19902.85,1662018600000,19922.35,19889.19,19922.35
19900.32,1662018900000,19900.32,19885.96,19890.95
19891.54,1662019200000,19898.03,19856.21,19898.03
19886.93,1662019500000,19910.13,19886.93,19899.72
19938.34,1662019800000,19938.34,19877.79,19883.09
19914.56,1662020100000,19938.29,19908.54,19938.28
19911.36,1662020400000,19916.56,19906.25,19912.57
19879.42,1662020700000,19911.11,19879.42,19911.11
19837.24,1662021000000,19882.95,19829.44,19875.50
19898.55,1662021300000,19917.24,19829.42,19829.42
19883.37,1662021600000,19902.96,19882.53,19897.66
19900.95,1662021900000,19900.95,19874.37,19893.33
19902.48,1662022200000,19911.02,19901.92,19903.92
19924.74,1662022500000,19927.05,19908.49,19909.49
19968.97,1662022800000,19976.57,19924.74,19924.74
19919.15,1662023100000,19969.92,19919.15,19965.98
19907.53,1662023400000,19920.04,19907.53,19911.55
